Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,minute_sin,minute_cos,day_sin,day_cos,weekday_sin,weekday_cos,src_ip_a,src_ip_b,src_ip_c,src_ip_d,src_is_internal,src_subnet_16,src_subnet_24,dst_ip_a,dst_ip_b,dst_ip_c,dst_ip_d,dst_is_internal,dst_subnet_16,dst_subnet_24
54485,443,17,103446,2,1,142,69,71.0,71.0,71.0,0.0,69.0,69.0,69.0,0.0,2039.7115403205537,29.00063801403631,51723.0,73147.3680866236,103446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,28,19.333758676024207,9.666879338012103,69.0,71.0,70.33333333333333,1.1547005383792517,1.3333333333333337,0,0,0,0,0,0,0,0,0.5,70.33333333333333,71.0,69.0,56,0,0,0,0,0,0,2,142,1,69,-1,-1,2,0,103446.0,0.0,103446.0,103446.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,64,233,161,95,0,16617,4254113
5353,5353,17,0,2,0,264,0,132.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,132.0,132.0,0.0,56,0,0,0,0,0,0,2,264,0,0,-1,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,129,1,49320,12625927,224,0,0,251,0,57344,14680064
0,0,128,0,2,0,304,0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,152.0,152.0,152.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,152.0,152.0,0.0,0,0,0,0,0,0,0,2,304,0,0,-1,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,19,170,214,173,0,5034,1288918
64260,443,6,219,2,1,110,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,803652.9680365296,13698.630136986301,109.5,154.8563850798539,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,52,9132.4200913242,4566.2100456621,55.0,66.0,58.666666666666664,6.3508529610858835,40.333333333333336,0,0,0,0,3,0,0,0,0.5,58.666666666666664,55.0,66.0,80,0,0,0,0,0,0,2,110,1,66,2047,19579,2,20,219.0,0.0,219.0,219.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,8,6,112,0,0,2054,525936
53829,443,6,0,2,0,2908,0,1454.0,1454.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,1454.0,1454.0,1454.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,1454.0,1454.0,0.0,80,0,0,0,0,0,0,2,2908,0,0,255,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,172,67,201,151,0,44099,11289545
64673,443,6,0,2,0,2908,0,1454.0,1454.0,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,1454.0,1454.0,1454.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,1454.0,1454.0,0.0,80,0,0,0,0,0,0,2,2908,0,0,255,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,172,67,201,151,0,44099,11289545
53831,443,6,0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,54.0,54.0,0.0,80,0,0,0,0,0,0,2,108,0,0,252,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,198,18,197,132,0,50706,12980933
64674,443,6,0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,54.0,54.0,0.0,80,0,0,0,0,0,0,2,108,0,0,252,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,198,18,197,132,0,50706,12980933
64675,443,6,0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,54.0,54.0,0.0,80,0,0,0,0,0,0,2,108,0,0,251,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,198,18,199,158,0,50706,12980935
53832,443,6,0,2,0,108,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,54.0,54.0,0.0,80,0,0,0,0,0,0,2,108,0,0,252,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9896513868196702,-0.1434926219911794,0.3536761221763716,0.9353679493131483,0.43388373911755823,-0.900968867902419,192,168,7,101,1,49320,12625927,198,18,199,158,0,50706,12980935
