Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.7.101:60703-84.201.152.110:443-6,192.168.7.101,60703,84.201.152.110,443,6,2026-01-20 20:24:9.892780,10551,2,1,110,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,16680.883328594446,284.3332385555872,5275.5,7460.683648299263,10551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,52,189.55549237039145,94.77774618519572,55.0,66.0,58.666666666666664,6.3508529610858835,40.333333333333336,0,0,0,0,3,0,0,0,0.5,58.666666666666664,55.0,66.0,80,0,0,0,0,0,0,2,110,1,66,254,99,2,20,10551.0,0.0,10551.0,10551.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:54720-198.18.184.155:443-6,192.168.7.101,54720,198.18.184.155,443,6,2026-01-20 20:24:10.843067,419288,10,12,2934,5067,1889.0,54.0,293.4,570.4787852711478,1514.0,60.0,422.25,589.709655061478,19082.349125183646,52.46990135658545,19966.095238095237,48573.63707393627,189319.0,0.0,419288.0,46587.555555555555,84459.54921012648,244240.0,0.0,364406.0,33127.818181818184,63651.03438094025,189319.0,0.0,5,3,0,0,424,492,23.849955162084296,28.619946194501154,54.0,1889.0,363.6818181818182,570.9184235250657,325947.8463203463,0,3,0,8,20,0,0,0,1.2,363.6818181818182,293.4,422.25,424,0,0,0,0,0,0,10,2934,12,5067,65535,64240,10,20,419288.0,0.0,419288.0,419288.0,0.0,0.0,0.0,0.0,BENIGN
0.0.0.0:0-232.100.85.124:0-128,0.0.0.0,0,232.100.85.124,0,128,2026-01-20 20:24:11.507361,0,2,0,246,0,123.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,123.0,123.0,123.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,123.0,123.0,0.0,0,0,0,0,0,0,0,2,246,0,0,-1,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.212:5353-224.0.0.251:5353-17,192.168.7.212,5353,224.0.0.251,5353,17,2026-01-20 20:24:11.507374,0,2,0,206,0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,0.0,0.0,103.0,103.0,103.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,103.0,103.0,0.0,56,0,0,0,0,0,0,2,206,0,0,-1,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:54728-198.18.87.160:443-6,192.168.7.101,54728,198.18.87.160,443,6,2026-01-20 20:24:17.50935,10001063,11,8,1684,1875,702.0,54.0,153.0909090909091,196.83975947224408,1057.0,60.0,234.375,344.06848882162984,355.8621718511322,1.899798051467129,555614.6111111111,2312742.1061230768,9821813.0,0.0,1.0001063E7,1000106.3,3099894.5849324204,9821813.0,0.0,178767.0,25538.14285714286,47178.29240737938,123043.0,34.0,6,3,0,0,464,332,1.0998830824283379,0.7999149690387911,54.0,1057.0,187.31578947368422,263.17950203691333,69263.45029239767,1,3,0,9,17,0,0,0,0.7272727272727273,187.31578947368422,153.0909090909091,234.375,464,0,0,0,0,0,0,11,1684,8,1875,65535,64240,11,20,89625.0,126634.33922913643,179169.0,81.0,9821813.0,0.0,9821813.0,9821813.0,BENIGN
192.168.7.101:54728-198.18.87.160:443-6,198.18.87.160,443,192.168.7.101,54728,6,2026-01-20 20:24:27.52186,53261,5,0,300,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,5632.639267005877,93.8773211167646,13315.25,21647.169443524635,45302.0,0.0,53261.0,13315.25,21647.169443524635,45302.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,93.8773211167646,0.0,60.0,60.0,60.0,0.0,0.0,1,0,0,0,5,0,0,0,0.0,60.0,60.0,0.0,200,0,0,0,0,0,0,5,300,0,0,1977,-1,5,20,53261.0,0.0,53261.0,53261.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:54511-74.125.111.168:443-6,74.125.111.168,443,192.168.7.101,54511,6,2026-01-20 20:24:27.543314,0,2,0,120,0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,2,0,0,0,2,0,0,0,0.0,60.0,60.0,0.0,80,0,0,0,0,0,0,2,120,0,0,1829,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:54511-74.125.111.168:443-6,192.168.7.101,54511,74.125.111.168,443,6,2026-01-20 20:24:27.543359,336571,3,0,162,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,481.3248913305068,8.913423913527904,168285.5,237991.63645073748,336571.0,0.0,336571.0,168285.5,237991.63645073748,336571.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,8.913423913527904,0.0,54.0,54.0,54.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,54.0,54.0,0.0,120,0,0,0,0,0,0,3,162,0,0,511,-1,3,20,336571.0,0.0,336571.0,336571.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:51322-8.47.69.0:443-6,8.47.69.0,443,192.168.7.101,51322,6,2026-01-20 20:24:12.358630,749,3,1,220,84,80.0,60.0,73.33333333333333,11.547005383792516,84.0,84.0,84.0,0.0,405874.4993324433,5340.45393858478,249.66666666666666,228.69266130187327,449.0,0.0,749.0,374.5,529.622979108724,749.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,120,40,4005.3404539385847,1335.113484646195,60.0,84.0,76.0,10.83205120618128,117.33333333333331,0,0,0,3,4,0,0,0,0.3333333333333333,76.0,73.33333333333333,84.0,120,0,0,0,0,0,0,3,220,1,84,1919,255,3,20,749.0,0.0,749.0,749.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:65008-8.47.69.0:443-6,8.47.69.0,443,192.168.7.101,65008,6,2026-01-20 20:24:13.822953,633,3,1,218,83,79.0,60.0,72.66666666666667,10.96965511460289,83.0,83.0,83.0,0.0,475513.4281200632,6319.11532385466,211.0,182.9289479552102,325.0,0.0,633.0,316.5,447.59859249108456,633.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,120,40,4739.336492890995,1579.778830963665,60.0,83.0,75.25,10.3400515794974,106.91666666666669,0,0,0,3,4,0,0,0,0.3333333333333333,75.25,72.66666666666667,83.0,120,0,0,0,0,0,0,3,218,1,83,2003,253,3,20,633.0,0.0,633.0,633.0,0.0,0.0,0.0,0.0,BENIGN
192.168.7.101:60703-84.201.152.110:443-6,84.201.152.110,443,192.168.7.101,60703,6,2026-01-20 20:24:29.883753,174,3,0,230,0,85.0,60.0,76.66666666666667,14.433756729740644,0.0,0.0,0.0,0.0,1321839.08045977,17241.379310344826,87.0,123.03657992645927,174.0,0.0,174.0,87.0,123.03657992645927,174.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,120,0,17241.379310344826,0.0,60.0,85.0,76.66666666666667,14.433756729740644,208.33333333333331,1,0,0,2,3,0,0,0,0.0,76.66666666666667,76.66666666666667,0.0,120,0,0,0,0,0,0,3,230,0,0,99,-1,3,20,174.0,0.0,174.0,174.0,0.0,0.0,0.0,0.0,BENIGN
